CEO,Chief Executive Officer
Dir,Director
GM,General Manager
PD,Project Director
CS,Company Secretary
BS,Billing Supervisor
BS-I,Billing Support I
BS-II,Billing Support II
BS-III,Billing Support III
BS-IV,Billing Support IV
ABS,Assistant Billing Support
ABS-I,Assistant Billing Support I
ABS-II,Assistant Billing Support II
ABS-III,Assistant Billing Support III
ABS-IV,Assistant Billing Support IV
SCCCO,Senior Chief Call Centre Officer
CCCO,Chief Call Centre Officer
DCCCO,Deputy Chief Call Centre Officer
SSCO,Senior Call Centre Officer
CCO,Call Centre Officer
DDCO,Deputy Call Centre Officer
AACO,Assistant Call Centre Officer
SSCS,Senior Call Centre Supervisor
CCS,Call Centre Supervisor
CCA-I,Call Centre Agent I
CCA-II,Call Centre Agent II
CCA-III,Call Centre Agent III
CCA-IV,Call Centre Agent IV
CCA-V,Call Centre Agent V
CCA-VI,Call Centre Agent VI
AACA,Assistant Call Centre Agent I
AACA,Assistant Call Centre Agent II
AACA,Assistant Call Centre Agent III
SJS,Senior Janitor Supervisor
JS,Janitor Supervisor
J-I,Janitor I
J-II,Janitor II
J-III,Janitor III
J-IV,Janitor IV
J-V,Janitor V
J-VI,Janitor VI
AJ-I,Assistant Janitor I
AJ-II,Assistant Janitor II
AJ-III,Assistant Janitor III
SD-I,Senior Driver I
SD-II,Senior Driver II
SD-III,Senior Driver III
D-I,Driver I
D-II,Driver II
D-III,Driver III
D-IV,Driver IV
D-V,Driver V
AD-I,Assistant Driver I
AD-II,Assistant Driver II
AD-III,Assistant Driver III
AD-IV,Assistant Driver IV
SSC (C),Senior Chief Engineer (Civil)
CE (C),Chief Engineer (Civil)
SE (C),Superintending Engineer (Civil)
EE (C),Executive Engineer (Civil)
SE (C),Senior Engineer (Civil)
E (C),Engineer (Civil)
AE (C),Associate Engineer (Civil)
JE (C),Junior Engineer (Civil)
SO (C),Section Officer (Civil)
T-I (C),Technician I (Civil)
T-II (C),Technician II (Civil)
TS-I (C),Technical Staff I (Civil)
TS-II (C),Technical Staff II (Civil)
