IFRS application skills,4
Data and report analysis,6
Spreadsheet proficiency,68
General Ledger and Journal entry,121
HR management,60
Office management,60
Asset Analysis (life time),8
Workout of Annual divisional budget for division,12
Annual budgeting,75
Business proposals and Execution of the business ideas ,105
Data Analytics,14
BI tools,15
Contract Management,22
Contract Management,22
Structural Design,49
Structural Design,49
Construction Work Monitoring & Bill verifications,66
Construction Work Monitoring & Bill verifications,66
Tendering & Estimation,112
Tendering & Estimation,112
Energy accounting and reconciliation,41
Preparation and settlement of energy purchase/ sale and wheeling bills,41
Preparation of investment plan,41
Preparation/ planning/ monitoring and evaluation of budget,41
communication skills to maintain supplier relationships and trust,21
communication skills to maintain supplier relationships and trust,21
Respondents writing skill,128
Transmission Line Construction,119
Contract Management,126
Contract management,22
Inventory Management,22
Procurement of proprietary equipment/ materials and spares,22
Analytics in excel,27
HR and Finance requirements,27
Microsoft excel and data analytic tools,25
software: AutoCAD,36
software: Dialux Evo,36
Testing & commissioning of substations ,2
Testing & commissioning of substations ,2
Planning and Budgeting,32
Repair of DTs,33
System Planning ,35
GIS Bus coupling & termination ,44
GIS Bus coupling & termination ,44
Control and Protection,57
Conduct environmental impact assessment studies for environment clearance,58
Design of structures & its specifictions,58
Detailed Calculations/ Foundation & Structural Steel Design,58
Prepare/Review of designs/ specifications and estimations,58
Advance welding and various weld testing,59
Fabrication machining and Arc/Gas welding,59
Repair and testing of Overhead Cranes,73
Contract/Project Management,82
Contract/Project Management,82
Control room design and specifications,107
Equipment sizing and technical specifications,107
Grounding and lighnining protection ,107
Layout planning/ single line diagrams & optimization,107
Prepare/Review substation specifications,107
Carry out powerflow simulation,109
Conduct technical feasibility ,109
Testing and commissioning of power transformers. ,114
Use of testing equipment and interpretation of results ,114
Paper insulation on copper strips/wire and rewinding of large coils,118
Rewinding of CTPT ,118
Transformer design and testing ,118
Transformer repair material testing ,118
UG Cable straight through & termination jointing,122
UG Cable straight through & termination jointing,122
Documentations,34
Documentations,1
Layout and internal wiring for houses,53
Study/ Design and Estimation of solar projects,28
Study for rehabilitation and greenfield development of HEPs,29
Supervision of RE projects including installation/ testing and commissioning works,39
Operation/ Maintenance and Monitoring of Wind Turbines and Solar PV and Water Heating Plants,70
Grid Stability and Transient flow analysis for grid-tied renewable energy projects. ,89
Repair and maintenance of Hydro Power Plants,90
Preparation of bidding document for renewable energy projects including rehabilitation and green fie,111
Finacial Reporting/ financial modelling/ Preparation of financial ststements/ etcâ€¦,3
Critical Thinking,6
Financial analysis/ risk analysis/ risk management/ strategic finacial planning and data analysis,6
Analysis of cost/expenses,11
Budgeting ,11
Preparation of budget proposals/ processing for budget repropriation/ supplementary budget/ etc.,11
Proficiency and ability to interpret a business problem and devise innovative solutions,13
Analyzing/ monitoring/ and optimizing the cash receipts after deducting the cash expenses.,17
Organizing/ planning/ directing/ and controlling financial activities of an organizationâ€™s funds,41
Writing,127
Making entries of Disptach/Receipt of official correspondences,23
Administration and management of GIS database system for T&D,61
Infrastrucutre mapping in GIS,61
Detailed line survey,108
Route alignment survey,108
Topographical survey,108
Conducting Job Interviews,46
Leading diverse group and/with hetrogenous skill sets/ qualification and attitude,54
Coaching/ mentoring and grooming,67
ToT on specialized areas/ public speaking/ counselling/ course/syllabus design/ etc.,117
Delegating works to subordinates,125
TensorFlow/ ,5
Linux System administrator/ Database Administrator/  Storage administator,20
Checkpoint Certifited Security administrator/ Security policy and administator,24
Using tools such as Tableu/ Panda/ numPy/ Pytorch ,26
Asset Performance Management,52
Use of Microsoft Office products - Word/ Excel/ Access/ Power Point and Projects,52
Use of SAP software - PS/MM/PM modules,52
Switching & Routing/ Design and setup of LAN/ working with fibers and sfp,69
ABAP Programming,79
Scrum master/ Agile expert/ Product owner,80
Coding in React/NodeJS/PHP/ tester/ Data engineer,103
Ganeti and Hypervisor,123
Alternative Dispute Resolution & Arbitration/ Mediation & settlement,7
Provide critical advice relating to legal issues and compliance to new legislation,55
Presentation of evidence/ preparation of court presentation materials and record keeping,56
Hearing proceedings/ enforcement of claims/ official representation from the company,83
Dzongkha and English legal format writing and speaking,87
Review & alalysis of legal frameworks/ regulation/ policies/ contracts and interpretation thereof,92
Trouble shooting/ testing and maintenance of Breakers/relays/transformers/CTs and PTs ,116
Manpower and Financial Managment,91
General mechanical fabrication work ,63
Attend to online queries of customer via BPC Chatbot and BPC Facebook messenger,30
Inform on various activities and notification via social media platform,31
Update information on website as and when required. ,47
Focal person between media and the company,62
Engage in compiling/ layout design and write-up for BPC Annual Report,86
Use Adobe photoshop to design poster (notification/ for national events etc),104
