Proper Documentation for future references,17,30003091,18/07/2022,NULL,NULL
33/11kV AIS & GIS Substation,16,30003091,18/07/2022,NULL,NULL
Accounting Skills,20,30003091,18/07/2022,NULL,NULL
Accounting Standards,1,30003091,18/07/2022,NULL,NULL
AI & Machine learning,24,30003091,18/07/2022,NULL,NULL
Analysis,1,30003091,18/07/2022,NULL,NULL
Arbitration & Mediation,25,30003091,18/07/2022,NULL,NULL
Asset management,3,30003091,18/07/2022,NULL,NULL
Auditing,42,30003091,18/07/2022,NULL,NULL
"Basic routing, switching and server ",30,30003091,18/07/2022,NULL,NULL
Budgeting,20,30003091,18/07/2022,NULL,NULL
Budget workout and allocations,4,30003091,18/07/2022,NULL,NULL
Business Acumen,20,30003091,18/07/2022,NULL,NULL
Business Analysis,6,30003091,18/07/2022,NULL,NULL
Business Inteligence (BI),6,30003091,18/07/2022,NULL,NULL
Capacity Building,41,30003091,18/07/2022,NULL,NULL
Cash flow management,20,30003091,18/07/2022,NULL,NULL
Certification,41,30003091,18/07/2022,NULL,NULL
Civil Works,46,30003091,18/07/2022,NULL,NULL
Cloud Computing,24,30003091,18/07/2022,NULL,NULL
Communication with suppliers/ bidders,9,30003091,18/07/2022,NULL,NULL
Contract Management,7,30003091,18/07/2022,NULL,NULL
Correspondences,21,30003091,18/07/2022,NULL,NULL
Cyber Security,24,30003091,18/07/2022,NULL,NULL
Data analytics,13,30003091,18/07/2022,NULL,NULL
Data Analytics and data science,24,30003091,18/07/2022,NULL,NULL
Data Compilation ,12,30003091,18/07/2022,NULL,NULL
Design and Estimation,19,30003091,18/07/2022,NULL,NULL
Detailed Study Report,19,30003091,18/07/2022,NULL,NULL
Digital/Online Customer care,29,30003091,18/07/2022,NULL,NULL
Disseminate Information,29,30003091,18/07/2022,NULL,NULL
Distribution System Planning and Budgeting,16,30003091,18/07/2022,NULL,NULL
Distribution Transformer (DT),16,30003091,18/07/2022,NULL,NULL
Documentation for future references,17,30003091,18/07/2022,NULL,NULL
Dsitribution Planning,16,30003091,18/07/2022,NULL,NULL
Electrical Lighting Design,14,30003091,18/07/2022,NULL,NULL
Electrical Works,46,30003091,18/07/2022,NULL,NULL
Evaluation,49,30003091,18/07/2022,NULL,NULL
"Execution, Supervision & Monitoring ",19,30003091,18/07/2022,NULL,NULL
Fiber ,45,30003091,18/07/2022,NULL,NULL
Financial Management,8,30003091,18/07/2022,NULL,NULL
Gap Analysis,41,30003091,18/07/2022,NULL,NULL
General Finance,45,30003091,18/07/2022,NULL,NULL
GIS Substation,16,30003091,18/07/2022,NULL,NULL
Group synergy,51,30003091,18/07/2022,NULL,NULL
Hiring & Selection,23,30003091,18/07/2022,NULL,NULL
ICT,29,30003091,18/07/2022,NULL,NULL
Information & Technology ,45,30003091,18/07/2022,NULL,NULL
Infrastructure & Ancillary Design works,7,30003091,18/07/2022,NULL,NULL
Installation & commissioning,31,30003091,18/07/2022,NULL,NULL
Investigation,42,30003091,18/07/2022,NULL,NULL
IT User,24,30003091,18/07/2022,NULL,NULL
Layout and wiring ,18,30003091,18/07/2022,NULL,NULL
Leadership,23,30003091,18/07/2022,NULL,NULL
Legal Arvisory,25,30003091,18/07/2022,NULL,NULL
Legal Documentation,25,30003091,18/07/2022,NULL,NULL
Line and Substation,16,30003091,18/07/2022,NULL,NULL
Lines,16,30003091,18/07/2022,NULL,NULL
Machines,16,30003091,18/07/2022,NULL,NULL
Management,2,30003091,18/07/2022,NULL,NULL
Mapping,22,30003091,18/07/2022,NULL,NULL
Media focal person,29,30003091,18/07/2022,NULL,NULL
Metal Fabrication,28,30003091,18/07/2022,NULL,NULL
MM module,43,30003091,18/07/2022,NULL,NULL
"MM, PM and PS modules usage ",44,30003091,18/07/2022,NULL,NULL
Monitoring & Verification ,7,30003091,18/07/2022,NULL,NULL
Motivation,23,30003091,18/07/2022,NULL,NULL
MS Office,1,30003091,18/07/2022,NULL,NULL
Networking & Wireless,24,30003091,18/07/2022,NULL,NULL
O&M,19,30003091,18/07/2022,NULL,NULL
O&M of Substation,50,30003091,18/07/2022,NULL,NULL
O&M of Transmission Lines,50,30003091,18/07/2022,NULL,NULL
Overhead Crane,16,30003091,18/07/2022,NULL,NULL
Planning ahead,34,30003091,18/07/2022,NULL,NULL
Preparation of Budget,4,30003091,18/07/2022,NULL,NULL
Process and Procedures,38,30003091,18/07/2022,NULL,NULL
Procurement ,45,30003091,18/07/2022,NULL,NULL
Procurement processes,37,30003091,18/07/2022,NULL,NULL
Programming,24,30003091,18/07/2022,NULL,NULL
Project Management,24,30003091,18/07/2022,NULL,NULL
Project System,43,30003091,18/07/2022,NULL,NULL
Projects,16,30003091,18/07/2022,NULL,NULL
Prosecution & Litgation ,25,30003091,18/07/2022,NULL,NULL
Protection coordination,40,30003091,18/07/2022,NULL,NULL
PS Module,43,30003091,18/07/2022,NULL,NULL
Publication,29,30003091,18/07/2022,NULL,NULL
Reading & Writing,25,30003091,18/07/2022,NULL,NULL
Regulatory Environment,41,30003091,18/07/2022,NULL,NULL
Renewable energy with grid integration ,19,30003091,18/07/2022,NULL,NULL
Repair & Maintenance,19,30003091,18/07/2022,NULL,NULL
Resource Management,27,30003091,18/07/2022,NULL,NULL
Review of Documents,25,30003091,18/07/2022,NULL,NULL
Risk Champion,41,30003091,18/07/2022,NULL,NULL
Risk Expert,41,30003091,18/07/2022,NULL,NULL
Risk Generalist,41,30003091,18/07/2022,NULL,NULL
Risk Leader,41,30003091,18/07/2022,NULL,NULL
"Risk Manual, Policy, Framework",41,30003091,18/07/2022,NULL,NULL
Risk MIS,41,30003091,18/07/2022,NULL,NULL
Risk Professional,41,30003091,18/07/2022,NULL,NULL
SAP Configuration ,45,30003091,18/07/2022,NULL,NULL
SAP Functional,45,30003091,18/07/2022,NULL,NULL
Software,36,30003091,18/07/2022,NULL,NULL
Software Development,24,30003091,18/07/2022,NULL,NULL
Software operation,29,30003091,18/07/2022,NULL,NULL
Starting new businesses ,5,30003091,18/07/2022,NULL,NULL
Strategic Planning ,33,30003091,18/07/2022,NULL,NULL
Substation,16,30003091,18/07/2022,NULL,NULL
Survey,22,30003091,18/07/2022,NULL,NULL
System study,16,30003091,18/07/2022,NULL,NULL
Technical Support,47,30003091,18/07/2022,NULL,NULL
Tendering,19,30003091,18/07/2022,NULL,NULL
Tendering & Estimation,7,30003091,18/07/2022,NULL,NULL
Tenders & Contracts,39,30003091,18/07/2022,NULL,NULL
Testing and commissioning,16,30003091,18/07/2022,NULL,NULL
Testing and troubleshooting for passive optical network,32,30003091,18/07/2022,NULL,NULL
Testing of MV switchgears,26,30003091,18/07/2022,NULL,NULL
Training & Development,23,30003091,18/07/2022,NULL,NULL
Transformer,16,30003091,18/07/2022,NULL,NULL
Transmission Line Construction ,10,30003091,18/07/2022,NULL,NULL
Transmission Line Construction & Transmission Maintenance,50,30003091,18/07/2022,NULL,NULL
Trial Balance study,1,30003091,18/07/2022,NULL,NULL
UG Lines,16,30003091,18/07/2022,NULL,NULL
Virtualization,24,30003091,18/07/2022,NULL,NULL
Warehouse Management ,45,30003091,18/07/2022,NULL,NULL
Work Delegation,23,30003091,18/07/2022,NULL,NULL
Work scheduling,10,30003091,18/07/2022,NULL,NULL
Writeup,20,30003091,18/07/2022,NULL,NULL
Written,9,30003091,18/07/2022,NULL,NULL
