Not Available,Not Availble,1
Bumthang,Dzongkhag Thromde Class B,2
Tsimasham,Yenlag Thromde,3
Phuentsholing,Dzongkhag Thromde Class A,3
Dagana,Dzongkhag Thromde Class B,4
Lhamoy Zingkha,Yenlag Thromde,4
Gasa,Dzongkhag Thromde Class B,5
Damji,Yenlag Thromde,5
Haa,Dzongkhag Thromde Class B,6
Jyenkana,Yenlag Thromde,6
Lhuentse,Dzongkhag Thromde Class B,7
Autsho,Yenlag Thromde,7
Mongar,Dzongkhag Thromde Class B,8
Yadi,Yenlag Thromde,8
Paro,Dzongkhag Thromde Class B,9
Pema Gatshel,Dzongkhag Thromde Class B,10
Punakha,Dzongkhag Thromde Class B,11
Lobesa,Yenlag Thromde,11
Samdrup Jongkhar,Dzongkhag Thromde Class A,12
Dewathang,Yenlag Thromde,12
Samtse,Dzongkhag Thromde Class B,13
Gomtu,Yenlag Thromde,13
Gelephu,Dzongkhag Thromde Class A,14
Sarpang,Yenlag Thromde,14
Khasadrapchu,Yenlag Thromde,15
Thimphu,Dzongkhag Thromde Class A,15
Trashi Yangtse,Dzongkhag Thromde Class B,16
Duksum,Yenlag Thromde,16
Trashigang,Dzongkhag Thromde Class B,17
Rangjung,Yenlag Thromde,17
Trongsa,Dzongkhag Thromde Class B,18
Kuengarabten,Yenlag Thromde,18
Damphu,Dzongkhag Thromde Class B,19
Mendrelgang,Yenlag Thromde,19
Wangdue Phodrang,Dzongkhag Thromde Class B,20
Nobding,Yenlag Thromde,20
Zhemgang,Dzongkhag Thromde Class B,21
Panbang,Yenlag Thromde,21
Zhemgang,Dzongkhag Thromde Class B,21
Gyelpozhing,Yenlag Thromde,8
Dagapela,Yenlag Thromde,4
Tingtibi,Yenlag Thromde,21
Dhamdum,Yenlag Thromde,13
Dechen Choling,Yenlag Thromde,15
Motanga,Yenlag Thromde,12
